"","Country","ath","year","Total","rank","final_vote","host_country","on_final_vote","gdps","pops"
"1","Algeria",-0.579667684470577,1992,-0.45498652944378,0,-0.16582719486181,0,0,-0.687228699140645,-0.162354157418213
"2","Andorra",-0.557882452645687,1992,-0.45498652944378,0,-0.16582719486181,0,0,-0.0637007265339314,-0.30080040044273
"3","Argentina",-0.231103975272331,1992,-0.45498652944378,0,-0.16582719486181,0,0,-0.611180907916024,-0.123805164700983
"4","Australia",-0.20931874344744,1992,-0.45498652944378,0,-0.16582719486181,0,0,-0.0602451615368289,-0.208814748055239
"5","Austria",0.596734834073505,1992,2.72792111787592,3,-0.16582719486181,0,0,0.0701053261416534,-0.259092526818321
"6","Belgium",-0.557882452645687,1992,-0.45498652944378,0,-0.16582719486181,0,0,0.0237574266854742,-0.246487471613953
"7","Bermuda",-0.645023379945248,1992,-0.45498652944378,0,-0.16582719486181,0,0,0.354117173249109,-0.300766476666291
"8","Bolivia",-0.579667684470577,1992,-0.45498652944378,0,-0.16582719486181,0,0,-0.759232307959597,-0.26412925311139
"9","Brazil",-0.514311988995906,1992,-0.45498652944378,0,-0.16582719486181,0,0,-0.661692103662411,0.504825508831313
"10","Bulgaria",0.00853357480146367,1992,-0.45498652944378,0,3.26307625029478,0,1,-0.685031246228656,-0.252533268423816
"11","Canada",1.68599642531803,1992,0.605982686329452,9,-0.16582719486181,0,0,0.101575362340841,-0.150756170296951
"12","Chile",-0.557882452645687,1992,-0.45498652944378,0,-0.16582719486181,0,0,-0.688180447783682,-0.229510875068668
"13","China",0.0303188066263541,1992,-0.0002854369695381,15,-0.16582719486181,0,0,-0.777745161019313,5.84279967019809
"14","Costa Rica",-0.579667684470577,1992,-0.45498652944378,0,-0.16582719486181,0,0,-0.691708621624133,-0.284485456565361
"15","Croatia",-0.579667684470577,1992,-0.45498652944378,0,-0.16582719486181,0,0,-0.644700645566268,-0.275202348730137
"16","Cyprus",-0.579667684470577,1992,-0.45498652944378,0,-0.16582719486181,0,0,-0.414258972796318,-0.296955849752706
"17","Czech Republic",0.945298543271751,1992,-0.0002854369695381,16,-0.16582719486181,0,0,-0.550649479296071,-0.244262885382013
"18","Denmark",-0.536097220820796,1992,-0.45498652944378,0,-0.16582719486181,0,0,0.290368289770525,-0.272861005887133
"19","Estonia",-0.252889207097221,1992,-0.45498652944378,0,-0.16582719486181,0,0,-0.681909209042674,-0.292502474595947
"20","Finland",0.683875761373066,1992,0.605982686329452,8,-0.16582719486181,0,0,0.279823346134438,-0.273785537873865
"21","France",1.70778165714292,1992,0.909116747978947,7,6.82913583325764,1,1,0.0701181473789719,0.0182606816356492
"22","Germany",1.7513521207927,1992,3.48575627199965,1,-0.16582719486181,0,1,0.0914529427043931,0.132129972353897
"23","Great Britain",0.400667747649491,1992,-0.45498652944378,0,-0.16582719486181,0,0,-0.0289639520869537,0.0126618594573917
"24","Greece",-0.492526757171016,1992,-0.45498652944378,0,-0.16582719486181,0,0,-0.413487552013179,-0.245429836035539
"25","Honduras",-0.645023379945248,1992,-0.45498652944378,0,-0.16582719486181,0,0,-0.757650880884714,-0.274615926902431
"26","Hungary",-0.143963047972769,1992,-0.45498652944378,0,-0.16582719486181,0,0,-0.645372883313277,-0.243457581726085
"27","Iceland",-0.557882452645687,1992,-0.45498652944378,0,-0.16582719486181,0,0,0.316108597723513,-0.299702955779203
"28","India",-0.623238148120358,1992,-0.45498652944378,0,-0.16582719486181,0,0,-0.775962206539611,4.38269410062452
"29","Ireland",-0.579667684470577,1992,-0.45498652944378,0,-0.16582719486181,0,0,-0.252124742434034,-0.281719353795555
"30","Italy",1.66421119349313,1992,1.66695190210268,5,-0.16582719486181,0,1,0.0118272372890684,0.0103552031180377
"31","Jamaica",-0.557882452645687,1992,-0.45498652944378,0,-0.16582719486181,0,0,-0.715619258543586,-0.287847284456604
"32","Japan",0.640305297723285,1992,0.605982686329452,10,-0.16582719486181,0,0,0.334529474642127,0.375120413095807
"33","North Korea",-0.231103975272331,1992,-0.303419498619033,19,-0.16582719486181,0,0,-0.706475774015099,-0.191145998545808
"34","South Korea",-0.16574827979766,1992,0.151281593855209,11,-0.16582719486181,0,0,-0.538438100846127,-0.0678010355500154
"35","Latvia",-0.16574827979766,1992,-0.45498652944378,0,-0.16582719486181,0,0,-0.678286906559138,-0.286514995644935
"36","Lebanon",-0.579667684470577,1992,-0.45498652944378,0,-0.16582719486181,0,0,-0.67808776540985,-0.286281850598046
"37","Liechtenstein",-0.514311988995906,1992,-0.45498652944378,0,-0.16582719486181,0,0,1.18888893673616,-0.300932677563427
"38","Lithuania",-0.536097220820796,1992,-0.45498652944378,0,-0.16582719486181,0,0,-0.678250899226078,-0.280913303897873
"39","Luxembourg",-0.645023379945248,1992,-0.151852467794286,17,-0.16582719486181,0,0,0.551400660267277,-0.299011582027727
"40","Mexico",-0.231103975272331,1992,-0.45498652944378,0,-0.16582719486181,0,0,-0.670824583375654,0.159090841749182
"41","Monaco",-0.557882452645687,1992,-0.45498652944378,0,-0.16582719486181,0,0,2.53553534348982,-0.300927596745127
