"","country","final_vote","year"
"1","France","51","1992"
"2","Bulgaria","25","1992"
"3","Sweden","9","1992"
"4","Norway","0","1992"
"5","Italy","0","1992"
"6","United States","0","1992"
"7","West Germany","0","1992"
"8","Norway","45","1994"
"9","Sweden","39","1994"
"10","United States","0","1994"
"11","Bulgaria","0","1994"
"12","Japan","46","1998"
"13","United States","42","1998"
"14","Sweden","0","1998"
"15","Spain","0","1998"
"16","Italy","0","1998"
"17","United States","54","2002"
"18","Sweden","14","2002"
"19","Switzerland","14","2002"
"20","Canada","7","2002"
"21","Italy","53","2006"
"22","Switzerland","36","2006"
"23","Canada","56","2010"
"24","South Korea","53","2010"
"25","Austria","0","2010"
"26","Russia","51","2014"
"27","South Korea","47","2014"
"28","Austria","0","2014"
"29","South Korea","63","2018"
"30","Germany","25","2018"
"31","France","7","2018"
